City,Grad+/Pro_Rate,HS_Grad,No_HS_Diploma,Median_Earnings,Unemployment_Rate,Population,Crime_Rate,Vacancy_Rate,Enforcement_Rate,Poverty_Rate,Pub_Health_Rate,Priv_Health_Rate
bixby,0.5000788602071394,3176.0,574.0,42648.0,0.028287974259284088,28383.0,0.01518514603812141,0.057333802321491385,0.0015502237254694713,0.0595186626315031,0.22273507943323315,0.8167668527264921
broken arrow,0.3348135109546479,16450.0,2486.0,40945.0,0.03636784421338006,110480.0,0.019207096307023896,0.047934110561018456,0.0018555394641564084,0.07785699994543371,0.25115092300847186,0.7461885606879205
duncan,0.16052779688574823,7226.0,1560.0,30150.0,0.04791238877481177,22296.0,0.03471474703982777,0.2080536912751678,0.002960172228202368,0.1882660850599782,0.3940086206896552,0.5261637931034483
edmond,0.5142106443654074,9484.0,2936.0,44151.0,0.039093655589123866,94699.0,0.018352886514113136,0.08317440943880794,0.0016578844549572857,0.07090562090939478,0.23551745649321315,0.8341579366274442
enid,0.23396022961529922,9816.0,2947.0,33063.0,0.02544594885020417,49598.0,0.03693697326505101,0.12194332732399575,0.002479938707205936,0.10929761133518631,0.29870574392983207,0.7069419189218098
jenks,0.4296611785646176,3546.0,624.0,47025.0,0.06981550945418358,24264.0,0.013394329047148039,0.08336046890263758,0.00140125288493241,0.08717573704872604,0.18676729752509386,0.7905141368477512
lawton,0.20830807570552973,19693.0,4747.0,26062.0,0.07995070476777325,1799.0,0.028904947192884937,0.20880363949342187,0.0027793218454697055,0.20351120075427562,0.40604937042751205,0.620875429253969
moore,0.29602466482926143,11911.0,2224.0,38679.0,0.04941332487675498,62998.0,0.024349979364424266,0.06959653654454834,0.001476237340867964,0.07076667967225907,0.2638363019787311,0.8129424159615448
muskogee,0.189150401836969,7463.0,2844.0,29079.0,0.06913352646826441,37174.0,0.046645504922795504,0.13828287953097695,0.0024479474901813094,0.2841464436314893,0.5152991029662649,0.4487094821418744
norman,0.46928757179212616,11722.0,2489.0,30480.0,0.034186031984008,125076.0,0.02887844190732035,0.07798844897028649,0.0019348236272346414,0.1666933871117449,0.2557110798986132,0.7951034048530052
owasso,0.37956460674157305,5626.0,895.0,42977.0,0.02393864694604218,37654.0,0.02294576937377171,0.047549632097737056,0.002098050671907367,0.057981369019812594,0.21106758080313417,0.8312656437044292
sand springs,0.1792521460788593,4642.0,1158.0,30615.0,0.01596905375917477,20024.0,0.044996004794246904,0.07045871559633028,0.002147423092289253,0.09600836153693013,0.35934700378260004,0.7077443758709935
sapulpa,0.20842105263157895,5967.0,983.0,31817.0,0.03329844924364951,20888.0,0.029011872845653007,0.08400043864458823,0.002680965147453083,0.14829687067294378,0.36935031495700954,0.7032967032967034
tulsa,0.3356281431570724,67645.0,20274.0,31559.0,0.0554765569644995,401700.0,0.0635026138909634,0.12828222621949273,0.002581528503858601,0.18634698027536992,0.3549454525354144,0.5873287068909201
yukon,0.36501392757660167,4422.0,1088.0,36363.0,0.03625216580034653,28184.0,0.01731478853250071,0.04552661381653454,0.0023772353108146467,0.14626822473861292,0.3219635444865548,0.6802021295794983
