"Label (Grouping)","Total:","Total:!!Under 18 years","Total:!!18 to 24 years","Total:!!25 to 34 years","Total:!!35 to 44 years","Total:!!45 to 54 years","Total:!!55 to 64 years","Total:!!65 years and over"
"Searcy city, Arkansas","","","","","","","",""
"    Estimate","23,685","5,097","5,673","3,623","1,547","2,233","1,817","3,695"
"Sherwood city, Arkansas","","","","","","","",""
"    Estimate","31,425","6,190","2,726","3,645","4,916","2,471","4,793","6,684"
"Siloam Springs city, Arkansas","","","","","","","",""
"    Estimate","20,494","5,719","3,427","3,922","1,992","2,095","1,592","1,747"
"Springdale city, Arkansas","","","","","","","",""
"    Estimate","80,454","23,866","9,235","10,771","11,832","8,817","6,605","9,328"
"Texarkana city, Arkansas","","","","","","","",""
"    Estimate","33,473","7,271","2,207","4,409","4,167","5,592","4,570","5,257"
"Van Buren city, Arkansas","","","","","","","",""
"    Estimate","23,843","4,803","1,636","4,117","3,005","3,498","2,692","4,092"
"West Memphis city, Arkansas","","","","","","","",""
"    Estimate","22,870","5,552","2,785","2,820","3,345","2,026","3,147","3,195"
"Adelanto city, California","","","","","","","",""
"    Estimate","34,055","9,830","5,660","5,526","4,684","4,169","2,517","1,669"
"Alameda city, California","","","","","","","",""
"    Estimate","77,630","15,996","5,269","11,795","12,262","9,363","9,855","13,090"
"Albany city, California","","","","","","","",""
"    Estimate","21,134","5,203","1,289","2,778","2,965","3,282","2,291","3,326"
"Alhambra city, California","","","","","","","",""
"    Estimate","83,732","14,093","7,611","13,078","10,344","11,931","11,132","15,543"
"Aliso Viejo city, California","","","","","","","",""
"    Estimate","50,899","12,150","3,481","5,597","7,567","10,283","7,019","4,802"
"Altadena CDP, California","","","","","","","",""
"    Estimate","46,235","9,691","2,687","4,935","6,820","6,940","5,457","9,705"
"American Canyon city, California","","","","","","","",""
"    Estimate","23,118","5,380","2,894","3,145","2,387","3,075","3,307","2,930"
"Anaheim city, California","","","","","","","",""
"    Estimate","350,351","77,117","36,910","59,968","46,117","46,946","42,010","41,283"
"Antelope CDP, California","","","","","","","",""
"    Estimate","51,000","17,660","4,138","7,354","8,292","4,171","5,587","3,798"
"Antioch city, California","","","","","","","",""
"    Estimate","111,506","23,858","9,911","17,281","12,254","14,470","16,771","16,961"
"Apple Valley town, California","","","","","","","",""
"    Estimate","73,464","19,894","6,484","9,469","7,658","6,713","10,679","12,567"
"Arcadia city, California","","","","","","","",""
"    Estimate","57,944","12,885","3,842","6,148","7,138","8,256","8,076","11,599"
"Arden-Arcade CDP, California","","","","","","","",""
"    Estimate","108,227","25,202","8,731","18,435","13,360","11,318","14,076","17,105"
"Arvin city, California","","","","","","","",""
"    Estimate","29,828","11,367","3,762","4,491","4,512","2,304","2,232","1,160"
"Ashland CDP, California","","","","","","","",""
"    Estimate","24,338","5,937","1,843","4,753","3,800","3,037","2,630","2,338"
"Atascadero city, California","","","","","","","",""
"    Estimate","30,073","7,068","2,283","4,440","4,968","3,262","4,489","3,563"
"Atwater city, California","","","","","","","",""
"    Estimate","29,551","9,447","2,415","4,779","4,446","3,305","2,370","2,789"
"Azusa city, California","","","","","","","",""
"    Estimate","49,969","11,264","9,007","6,620","7,217","4,474","5,877","5,510"
"Bakersfield city, California","","","","","","","",""
"    Estimate","384,159","114,625","36,913","62,416","49,603","43,140","37,145","40,317"
"Baldwin Park city, California","","","","","","","",""
"    Estimate","75,240","17,060","7,953","11,023","10,078","9,803","9,509","9,814"
"Banning city, California","","","","","","","",""
"    Estimate","31,214","7,813","2,803","3,843","2,915","4,128","2,378","7,334"
"Barstow city, California","","","","","","","",""
"    Estimate","21,978","4,939","2,170","3,217","1,578","2,838","3,483","3,753"
"Bay Point CDP, California","","","","","","","",""
"    Estimate","25,750","7,323","2,401","2,107","6,277","2,661","1,922","3,059"
"Beaumont city, California","","","","","","","",""
"    Estimate","51,055","15,598","4,155","4,574","7,696","6,348","4,951","7,733"
"Bell city, California","","","","","","","",""
"    Estimate","35,520","10,313","4,783","4,897","4,879","3,400","3,479","3,769"
"Bellflower city, California","","","","","","","",""
"    Estimate","76,445","16,675","7,222","11,671","10,571","9,570","10,571","10,165"
"Bell Gardens city, California","","","","","","","",""
"    Estimate","42,020","12,362","4,646","6,222","6,199","5,037","3,967","3,587"
"Belmont city, California","","","","","","","",""
"    Estimate","26,930","6,127","1,252","3,951","4,077","3,675","2,931","4,917"
"Benicia city, California","","","","","","","",""
"    Estimate","28,236","5,286","1,775","2,329","4,150","3,482","4,994","6,220"
"Berkeley city, California","","","","","","","",""
"    Estimate","121,353","14,319","30,920","22,360","12,133","11,486","11,264","18,871"
"Beverly Hills city, California","","","","","","","",""
"    Estimate","33,791","6,607","1,316","2,381","4,109","5,308","5,516","8,554"
"Bloomington CDP, California","","","","","","","",""
"    Estimate","24,120","8,424","2,105","3,625","3,709","2,554","2,411","1,292"
"Blythe city, California","","","","","","","",""
"    Estimate","21,954","4,146","1,796","4,739","3,740","2,932","2,620","1,981"
"Brawley city, California","","","","","","","",""
"    Estimate","26,227","8,728","1,564","4,335","2,223","2,792","3,296","3,289"
"Brea city, California","","","","","","","",""
"    Estimate","43,268","9,212","3,887","4,583","5,157","6,057","7,926","6,446"
"Brentwood city, California","","","","","","","",""
"    Estimate","64,483","14,964","4,968","6,971","9,283","6,274","10,867","11,156"
"Buena Park city, California","","","","","","","",""
"    Estimate","81,783","14,256","6,856","12,851","11,841","9,655","11,876","14,448"
"Burbank city, California","","","","","","","",""
"    Estimate","102,508","18,097","6,239","18,962","12,722","13,408","14,431","18,649"
"Burlingame city, California","","","","","","","",""
"    Estimate","30,892","7,951","1,058","3,971","5,686","5,058","3,118","4,050"
"Calabasas city, California","","","","","","","",""
"    Estimate","20,449","3,859","1,471","1,564","2,130","3,897","3,268","4,260"
"Calexico city, California","","","","","","","",""
"    Estimate","39,817","12,665","4,399","5,297","4,588","3,806","3,619","5,443"
"Camarillo city, California","","","","","","","",""
"    Estimate","69,887","13,302","6,054","8,044","8,557","8,898","9,709","15,323"
"Campbell city, California","","","","","","","",""
"    Estimate","41,800","11,032","1,639","7,607","7,536","4,391","5,021","4,574"
"Carlsbad city, California","","","","","","","",""
"    Estimate","115,386","24,505","6,855","12,196","14,811","18,142","17,485","21,392"
"Carmichael CDP, California","","","","","","","",""
"    Estimate","66,800","14,562","3,764","10,291","8,817","7,333","8,796","13,237"
"Carson city, California","","","","","","","",""
"    Estimate","91,407","14,697","9,922","14,977","7,136","12,625","15,479","16,571"
"Casa de Oro-Mount Helix CDP, California","","","","","","","",""
"    Estimate","20,261","3,788","946","3,261","1,935","2,208","2,445","5,678"
"Castro Valley CDP, California","","","","","","","",""
"    Estimate","60,422","12,728","2,915","8,134","9,403","8,280","10,223","8,739"
"Cathedral City city, California","","","","","","","",""
"    Estimate","54,998","11,069","3,317","6,753","6,693","6,767","8,491","11,908"
"Ceres city, California","","","","","","","",""
"    Estimate","48,707","13,492","3,935","9,527","6,486","4,515","5,208","5,544"
"Cerritos city, California","","","","","","","",""
"    Estimate","49,848","8,148","3,278","6,805","5,568","5,664","7,204","13,181"
"Chico city, California","","","","","","","",""
"    Estimate","103,315","20,764","21,811","15,232","11,412","9,917","9,708","14,471"
"Chino city, California","","","","","","","",""
"    Estimate","94,352","17,155","8,196","16,764","14,421","13,635","12,375","11,806"
"Chino Hills city, California","","","","","","","",""
"    Estimate","83,843","17,360","7,676","9,856","12,232","12,530","12,585","11,604"
"Chowchilla city, California","","","","","","","",""
"    Estimate","21,122","4,036","1,240","4,103","3,345","3,583","2,713","2,102"
"Chula Vista city, California","","","","","","","",""
"    Estimate","274,485","65,893","25,070","39,729","40,463","40,070","29,654","33,606"
"Citrus Heights city, California","","","","","","","",""
"    Estimate","87,792","15,524","7,183","15,691","10,321","8,732","14,302","16,039"
"Claremont city, California","","","","","","","",""
"    Estimate","36,273","6,768","5,869","4,223","3,844","4,563","4,365","6,641"
"Clovis city, California","","","","","","","",""
"    Estimate","114,582","34,282","6,723","15,032","15,891","13,122","14,156","15,376"
"Coachella city, California","","","","","","","",""
"    Estimate","45,749","9,883","6,810","8,809","6,343","4,002","5,193","4,709"
"Colton city, California","","","","","","","",""
"    Estimate","54,822","13,577","6,625","6,950","8,999","7,776","4,921","5,974"
"Compton city, California","","","","","","","",""
"    Estimate","95,601","26,427","9,067","14,214","12,927","11,425","10,512","11,029"
"Concord city, California","","","","","","","",""
"    Estimate","129,320","26,550","12,226","21,833","15,567","16,777","17,948","18,419"
"Corcoran city, California","","","","","","","",""
