"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"La Verne city, California",""
"    Estimate","50,722"
"Lawndale city, California",""
"    Estimate","35,343"
"Lemon Grove city, California",""
"    Estimate","36,527"
"Lemoore city, California",""
"    Estimate","31,215"
"Lennox CDP, California",""
"    Estimate","29,840"
"Lincoln city, California",""
"    Estimate","48,803"
"Linda CDP, California",""
"    Estimate","31,256"
"Livermore city, California",""
"    Estimate","62,107"
"Lodi city, California",""
"    Estimate","35,174"
"Loma Linda city, California",""
"    Estimate","27,137"
"Lomita city, California",""
"    Estimate","47,358"
"Lompoc city, California",""
"    Estimate","24,736"
"Long Beach city, California",""
"    Estimate","35,843"
"Los Altos city, California",""
"    Estimate","151,581"
"Los Angeles city, California",""
"    Estimate","34,669"
"Los Banos city, California",""
"    Estimate","31,705"
"Los Gatos town, California",""
"    Estimate","102,369"
"Lynwood city, California",""
"    Estimate","28,128"
"Madera city, California",""
"    Estimate","23,272"
"Manhattan Beach city, California",""
"    Estimate","100,976"
"Manteca city, California",""
"    Estimate","43,970"
"Marina city, California",""
"    Estimate","28,794"
"Martinez city, California",""
"    Estimate","60,443"
"Maywood city, California",""
"    Estimate","27,558"
"Mead Valley CDP, California",""
"    Estimate","28,022"
"Menifee city, California",""
"    Estimate","39,552"
"Menlo Park city, California",""
"    Estimate","82,375"
"Merced city, California",""
"    Estimate","27,546"
"Millbrae city, California",""
"    Estimate","68,203"
"Milpitas city, California",""
"    Estimate","65,140"
"Mission Viejo city, California",""
"    Estimate","52,354"
"Modesto city, California",""
"    Estimate","36,575"
"Monrovia city, California",""
"    Estimate","41,493"
"Montclair city, California",""
"    Estimate","27,576"
"Montebello city, California",""
"    Estimate","28,849"
"Monterey city, California",""
"    Estimate","47,685"
"Monterey Park city, California",""
"    Estimate","37,470"
"Moorpark city, California",""
"    Estimate","50,786"
"Moreno Valley city, California",""
"    Estimate","30,440"
"Morgan Hill city, California",""
"    Estimate","60,595"
"Mountain View city, California",""
"    Estimate","86,698"
"Murrieta city, California",""
"    Estimate","42,251"
"Napa city, California",""
"    Estimate","45,883"
"National City city, California",""
"    Estimate","27,416"
"Newark city, California",""
"    Estimate","60,977"
"Newport Beach city, California",""
"    Estimate","74,620"
"Norco city, California",""
"    Estimate","40,543"
"North Highlands CDP, California",""
"    Estimate","32,394"
"North Tustin CDP, California",""
"    Estimate","58,808"
"Norwalk city, California",""
"    Estimate","35,404"
"Novato city, California",""
"    Estimate","53,011"
"Oakdale city, California",""
"    Estimate","46,946"
"Oakland city, California",""
"    Estimate","50,098"
"Oakley city, California",""
"    Estimate","51,448"
"Oceanside city, California",""
"    Estimate","34,904"
"Oildale CDP, California",""
"    Estimate","25,902"
"Ontario city, California",""
"    Estimate","31,776"
"Orange city, California",""
"    Estimate","42,056"
"Orangevale CDP, California",""
"    Estimate","41,838"
"Orcutt CDP, California",""
"    Estimate","47,114"
"Oxnard city, California",""
"    Estimate","31,098"
"Pacifica city, California",""
"    Estimate","58,274"
"Palmdale city, California",""
"    Estimate","34,511"
"Palm Desert city, California",""
"    Estimate","36,700"
"Palm Springs city, California",""
"    Estimate","36,847"
"Palo Alto city, California",""
"    Estimate","95,275"
"Paramount city, California",""
