"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"    Estimate","63,067","1,886","424"
"East Hemet CDP, California","","",""
"    Estimate","19,057","1,947","1,359"
"East Los Angeles CDP, California","","",""
"    Estimate","118,837","8,244","12,701"
"East Palo Alto city, California","","",""
"    Estimate","29,304","629","3,438"
"Eastvale city, California","","",""
"    Estimate","63,978","1,578","1,122"
"El Cajon city, California","","",""
"    Estimate","101,059","6,265","8,164"
"El Centro city, California","","",""
"    Estimate","43,385","2,681","7,200"
"El Cerrito city, California","","",""
"    Estimate","25,406","1,108","1,719"
"El Dorado Hills CDP, California","","",""
"    Estimate","52,221","1,058","852"
"Elk Grove city, California","","",""
"    Estimate","174,310","5,300","8,078"
"El Monte city, California","","",""
"    Estimate","113,881","6,215","12,375"
"El Paso de Robles (Paso Robles) city, California","","",""
"    Estimate","32,141","274","931"
"Encinitas city, California","","",""
"    Estimate","62,363","1,509","873"
"Escondido city, California","","",""
"    Estimate","149,980","13,803","13,579"
"Eureka city, California","","",""
"    Estimate","26,240","2,134","2,028"
"Fairfield city, California","","",""
"    Estimate","115,865","6,338","4,482"
"Fair Oaks CDP, California","","",""
"    Estimate","29,789","1,409","914"
"Fallbrook CDP, California","","",""
"    Estimate","29,481","2,958","1,964"
"Florence-Graham CDP, California","","",""
"    Estimate","70,039","4,379","9,219"
"Florin CDP, California","","",""
"    Estimate","44,145","2,904","5,551"
"Folsom city, California","","",""
"    Estimate","76,237","2,298","1,250"
"Fontana city, California","","",""
"    Estimate","213,583","11,038","13,403"
"Foothill Farms CDP, California","","",""
"    Estimate","41,863","1,178","6,863"
"Foster City city, California","","",""
"    Estimate","33,809","1,567","461"
"Fountain Valley city, California","","",""
"    Estimate","55,161","1,529","1,269"
"Fremont city, California","","",""
"    Estimate","239,820","4,524","3,522"
"French Valley CDP, California","","",""
"    Estimate","41,056","1,234","89"
"Fresno city, California","","",""
"    Estimate","522,005","48,750","72,257"
"Fullerton city, California","","",""
"    Estimate","135,882","4,673","8,198"
"Galt city, California","","",""
