"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"    Estimate","12,915","1,317","4,412","1,955","1,706"
"Sherwood city, Arkansas","","","","",""
"    Estimate","22,509","1,279","5,299","5,225","1,958"
"Siloam Springs city, Arkansas","","","","",""
"    Estimate","11,348","1,096","3,752","1,694","947"
"Springdale city, Arkansas","","","","",""
"    Estimate","47,353","6,575","12,183","6,049","2,318"
"Texarkana city, Arkansas","","","","",""
"    Estimate","23,995","1,305","9,175","2,477","1,669"
"Van Buren city, Arkansas","","","","",""
"    Estimate","17,404","1,676","6,624","1,558","937"
"West Memphis city, Arkansas","","","","",""
"    Estimate","14,533","1,448","5,705","1,469","498"
"Adelanto city, California","","","","",""
"    Estimate","18,565","2,240","6,024","1,249","472"
"Alameda city, California","","","","",""
"    Estimate","56,365","3,315","7,109","19,910","12,319"
"Albany city, California","","","","",""
"    Estimate","14,642","288","1,097","4,810","5,612"
"Alhambra city, California","","","","",""
"    Estimate","62,028","4,684","14,697","14,668","8,931"
"Aliso Viejo city, California","","","","",""
"    Estimate","35,268","858","3,405","12,757","6,522"
"Altadena CDP, California","","","","",""
"    Estimate","33,857","755","5,810","8,330","8,249"
"American Canyon city, California","","","","",""
"    Estimate","14,844","1,326","3,415","2,540","1,349"
"Anaheim city, California","","","","",""
"    Estimate","236,324","23,276","56,179","39,645","21,548"
"Antelope CDP, California","","","","",""
"    Estimate","29,202","754","9,183","5,852","1,998"
"Antioch city, California","","","","",""
"    Estimate","77,737","6,111","22,135","10,053","5,829"
"Apple Valley town, California","","","","",""
"    Estimate","47,086","3,760","14,478","4,799","3,819"
"Arcadia city, California","","","","",""
"    Estimate","41,217","1,218","6,618","13,937","9,564"
"Arden-Arcade CDP, California","","","","",""
"    Estimate","74,294","4,189","18,446","15,893","9,875"
"Arvin city, California","","","","",""
"    Estimate","14,699","3,207","3,443","299","0"
"Ashland CDP, California","","","","",""
"    Estimate","16,558","445","6,156","2,798","566"
"Atascadero city, California","","","","",""
"    Estimate","20,722","1,665","5,862","4,308","1,799"
"Atwater city, California","","","","",""
"    Estimate","17,689","1,745","4,707","2,374","480"
"Azusa city, California","","","","",""
"    Estimate","29,698","2,048","7,690","6,386","2,525"
"Bakersfield city, California","","","","",""
"    Estimate","232,621","19,864","58,738","34,067","17,997"
"Baldwin Park city, California","","","","",""
"    Estimate","50,227","5,925","15,994","5,327","1,390"
"Banning city, California","","","","",""
"    Estimate","20,598","2,843","5,751","1,790","1,299"
"Barstow city, California","","","","",""
"    Estimate","14,869","2,317","4,712","493","747"
"Bay Point CDP, California","","","","",""
"    Estimate","16,026","3,809","3,348","1,160","489"
"Beaumont city, California","","","","",""
"    Estimate","31,302","1,969","7,322","6,627","3,426"
"Bell city, California","","","","",""
"    Estimate","20,424","3,715","5,728","1,469","118"
"Bellflower city, California","","","","",""
"    Estimate","52,548","7,521","11,557","6,205","2,712"
"Bell Gardens city, California","","","","",""
"    Estimate","25,012","2,565","7,923","1,457","127"
"Belmont city, California","","","","",""
"    Estimate","19,551","296","2,073","5,771","6,376"
"Benicia city, California","","","","",""
"    Estimate","21,175","409","3,256","6,473","2,918"
"Berkeley city, California","","","","",""
"    Estimate","76,114","1,388","4,460","26,811","31,449"
"Beverly Hills city, California","","","","",""
"    Estimate","25,868","341","2,454","8,955","8,379"
"Bloomington CDP, California","","","","",""
"    Estimate","13,591","2,671","3,993","1,216","257"
"Blythe city, California","","","","",""
"    Estimate","16,012","2,325","4,653","897","249"
"Brawley city, California","","","","",""
"    Estimate","15,935","1,374","3,384","1,840","557"
"Brea city, California","","","","",""
"    Estimate","30,169","1,202","4,039","8,624","5,433"
"Brentwood city, California","","","","",""
"    Estimate","44,551","2,153","7,004","12,015","5,718"
"Buena Park city, California","","","","",""
"    Estimate","60,671","3,087","12,811","14,385","5,341"
"Burbank city, California","","","","",""
"    Estimate","78,172","3,128","10,915","24,957","10,562"
"Burlingame city, California","","","","",""
"    Estimate","21,883","298","1,953","7,030","8,559"
"Calabasas city, California","","","","",""
"    Estimate","15,119","86","1,292","4,921","3,851"
"Calexico city, California","","","","",""
"    Estimate","22,753","3,986","3,663","4,400","1,072"
"Camarillo city, California","","","","",""
"    Estimate","50,531","1,613","7,143","14,384","8,837"
"Campbell city, California","","","","",""
"    Estimate","29,129","652","3,956","9,399","6,831"
"Carlsbad city, California","","","","",""
"    Estimate","84,026","1,661","6,911","30,192","21,119"
"Carmichael CDP, California","","","","",""
"    Estimate","48,474","2,230","9,033","11,685","5,533"
"Carson city, California","","","","",""
"    Estimate","66,788","5,635","13,006","15,429","4,493"
"Casa de Oro-Mount Helix CDP, California","","","","",""
"    Estimate","15,527","561","2,774","3,575","3,941"
"Castro Valley CDP, California","","","","",""
"    Estimate","44,779","1,746","7,853","12,658","7,223"
"Cathedral City city, California","","","","",""
"    Estimate","40,612","3,392","11,969","7,188","3,594"
"Ceres city, California","","","","",""
"    Estimate","31,280","2,639","9,762","3,308","838"
"Cerritos city, California","","","","",""
"    Estimate","38,422","1,057","5,419","13,361","6,337"
"Chico city, California","","","","",""
"    Estimate","60,740","3,319","10,041","15,861","8,925"
"Chino city, California","","","","",""
"    Estimate","69,001","7,421","15,394","13,463","5,250"
"Chino Hills city, California","","","","",""
"    Estimate","58,807","1,685","7,332","20,858","9,975"
"Chowchilla city, California","","","","",""
"    Estimate","15,846","2,626","4,541","1,503","506"
"Chula Vista city, California","","","","",""
"    Estimate","183,522","19,435","37,664","38,169","15,354"
"Citrus Heights city, California","","","","",""
"    Estimate","65,085","4,050","16,946","7,945","3,689"
"Claremont city, California","","","","",""
"    Estimate","23,636","1,537","3,457","5,090","7,008"
"Clovis city, California","","","","",""
"    Estimate","73,577","3,671","12,527","16,465","9,586"
"Coachella city, California","","","","",""
"    Estimate","29,056","3,652","10,990","411","418"
"Colton city, California","","","","",""
"    Estimate","34,620","5,096","8,779","3,764","1,837"
"Compton city, California","","","","",""
"    Estimate","60,107","10,242","16,904","3,456","1,636"
"Concord city, California","","","","",""
"    Estimate","90,544","4,030","16,882","21,906","11,508"
"Corcoran city, California","","","","",""
"    Estimate","16,555","5,508","3,564","226","195"
"Corona city, California","","","","",""
"    Estimate","112,966","7,783","29,364","20,303","11,135"
"Coronado city, California","","","","",""
"    Estimate","13,438","143","1,580","4,850","4,207"
"Costa Mesa city, California","","","","",""
"    Estimate","79,196","6,472","14,451","21,638","8,853"
"Covina city, California","","","","",""
"    Estimate","33,975","2,848","10,406","6,200","2,410"
"Cudahy city, California","","","","",""
"    Estimate","13,802","3,004","4,066","280","64"
"Culver City city, California","","","","",""
"    Estimate","30,149","514","1,778","10,106","10,724"
"Cupertino city, California","","","","",""
"    Estimate","40,535","418","2,149","12,843","18,988"
"Cypress city, California","","","","",""
"    Estimate","33,592","1,550","4,909","9,847","5,159"
"Daly City city, California","","","","",""
"    Estimate","78,656","4,814","17,866","23,885","5,500"
"Dana Point city, California","","","","",""
"    Estimate","27,476","1,150","4,706","8,850","5,532"
"Danville town, California","","","","",""
"    Estimate","30,883","130","2,253","12,716","9,529"
"Davis city, California","","","","",""
"    Estimate","36,186","773","3,368","11,211","12,813"
"Delano city, California","","","","",""
"    Estimate","33,872","3,296","11,147","3,284","476"
"Desert Hot Springs city, California","","","","",""
"    Estimate","20,261","2,626","6,471","1,498","576"
"Diamond Bar city, California","","","","",""
"    Estimate","41,947","1,189","6,196","14,641","7,480"
"Dinuba city, California","","","","",""
"    Estimate","13,832","737","4,602","680","402"
"Dixon city, California","","","","",""
"    Estimate","15,307","1,024","3,375","2,742","2,035"
"Downey city, California","","","","",""
"    Estimate","74,450","5,010","21,578","12,851","4,957"
"Duarte city, California","","","","",""
"    Estimate","15,487","1,402","2,756","3,040","1,820"
"Dublin city, California","","","","",""
"    Estimate","45,476","857","4,149","15,823","15,338"
"East Hemet CDP, California","","","","",""
"    Estimate","11,181","2,220","2,870","878","514"
"East Los Angeles CDP, California","","","","",""
"    Estimate","75,195","13,110","17,412","4,682","1,407"
"East Palo Alto city, California","","","","",""
"    Estimate","18,534","1,284","5,026","2,159","2,027"
"Eastvale city, California","","","","",""
"    Estimate","36,511","2,350","5,922","8,619","4,381"
"El Cajon city, California","","","","",""
"    Estimate","69,222","4,119","16,232","11,097","5,169"
"El Centro city, California","","","","",""
"    Estimate","27,949","2,940","4,961","4,435","1,590"
"El Cerrito city, California","","","","",""
"    Estimate","18,847","503","1,553","6,241","6,784"
"El Dorado Hills CDP, California","","","","",""
"    Estimate","35,768","1,379","5,390","12,233","7,379"
"Elk Grove city, California","","","","",""
"    Estimate","119,270","5,900","22,699","28,602","15,176"
"El Monte city, California","","","","",""
"    Estimate","79,675","10,742","23,500","9,223","1,554"
"El Paso de Robles (Paso Robles) city, California","","","","",""
"    Estimate","20,740","1,410","3,633","3,902","1,928"
"Encinitas city, California","","","","",""
"    Estimate","45,018","864","3,282","18,587","11,992"
"Escondido city, California","","","","",""
"    Estimate","102,358","6,882","19,914","18,321","9,182"
"Eureka city, California","","","","",""
"    Estimate","18,993","1,291","2,792","4,323","2,174"
"Fairfield city, California","","","","",""
"    Estimate","78,520","2,690","18,253","17,970","7,036"
"Fair Oaks CDP, California","","","","",""
"    Estimate","22,336","714","3,063","6,147","3,399"
"Fallbrook CDP, California","","","","",""
"    Estimate","19,337","1,580","4,679","3,381","1,773"
"Florence-Graham CDP, California","","","","",""
"    Estimate","43,081","8,928","9,243","2,630","710"
"Florin CDP, California","","","","",""
"    Estimate","31,315","3,408","9,398","3,809","641"
"Folsom city, California","","","","",""
"    Estimate","57,110","1,732","7,597","18,349","11,961"
"Fontana city, California","","","","",""
"    Estimate","129,706","15,706","37,151","19,244","6,233"
"Foothill Farms CDP, California","","","","",""
"    Estimate","25,909","1,325","8,816","2,849","886"
"Foster City city, California","","","","",""
"    Estimate","25,291","727","1,567","9,647","8,169"
"Fountain Valley city, California","","","","",""
"    Estimate","39,683","2,695","7,389","11,845","4,565"
"Fremont city, California","","","","",""
"    Estimate","172,527","6,813","30,117","55,632","44,905"
"French Valley CDP, California","","","","",""
"    Estimate","28,504","1,408","6,086","6,326","2,211"
"Fresno city, California","","","","",""
"    Estimate","327,864","38,000","75,199","48,846","22,507"
"Fullerton city, California","","","","",""
"    Estimate","91,186","4,422","15,801","23,846","16,318"
"Galt city, California","","","","",""
"    Estimate","17,763","1,777","4,782","2,470","820"
"Gardena city, California","","","","",""
"    Estimate","44,440","1,740","11,064","8,624","3,907"
"Garden Grove city, California","","","","",""
"    Estimate","122,099","14,344","32,193","24,066","6,112"
