"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Estimate","44,425","42,309","2,116"
"Arvin city, California","","",""
"    Estimate","6,608","6,462","146"
"Ashland CDP, California","","",""
"    Estimate","8,279","7,407","872"
"Atascadero city, California","","",""
"    Estimate","11,204","10,868","336"
"Atwater city, California","","",""
"    Estimate","9,496","9,137","359"
"Azusa city, California","","",""
"    Estimate","14,516","13,846","670"
"Bakersfield city, California","","",""
"    Estimate","124,863","116,558","8,305"
"Baldwin Park city, California","","",""
"    Estimate","19,880","19,350","530"
"Banning city, California","","",""
"    Estimate","11,575","10,558","1,017"
"Barstow city, California","","",""
"    Estimate","9,657","8,731","926"
"Bay Point CDP, California","","",""
"    Estimate","7,049","6,859","190"
"Beaumont city, California","","",""
"    Estimate","15,578","15,171","407"
"Bell city, California","","",""
"    Estimate","8,450","8,450","0"
"Bellflower city, California","","",""
"    Estimate","25,114","23,369","1,745"
"Bell Gardens city, California","","",""
"    Estimate","10,930","10,905","25"
"Belmont city, California","","",""
"    Estimate","10,701","10,157","544"
"Benicia city, California","","",""
"    Estimate","11,497","11,313","184"
"Berkeley city, California","","",""
"    Estimate","47,994","44,551","3,443"
"Beverly Hills city, California","","",""
"    Estimate","18,887","15,665","3,222"
"Bloomington CDP, California","","",""
"    Estimate","5,817","5,444","373"
"Blythe city, California","","",""
"    Estimate","6,139","5,196","943"
"Brawley city, California","","",""
"    Estimate","8,575","7,899","676"
"Brea city, California","","",""
"    Estimate","15,855","15,162","693"
"Brentwood city, California","","",""
"    Estimate","22,574","21,626","948"
"Buena Park city, California","","",""
"    Estimate","26,509","25,362","1,147"
"Burbank city, California","","",""
"    Estimate","46,254","43,167","3,087"
"Burlingame city, California","","",""
"    Estimate","13,270","12,691","579"
"Calabasas city, California","","",""
"    Estimate","8,264","7,622","642"
"Calexico city, California","","",""
"    Estimate","12,124","9,972","2,152"
"Camarillo city, California","","",""
"    Estimate","28,540","27,274","1,266"
"Campbell city, California","","",""
"    Estimate","16,909","15,277","1,632"
"Carlsbad city, California","","",""
"    Estimate","51,631","44,966","6,665"
"Carmichael CDP, California","","",""
"    Estimate","27,590","26,577","1,013"
"Carson city, California","","",""
"    Estimate","26,986","25,573","1,413"
"Casa de Oro-Mount Helix CDP, California","","",""
"    Estimate","6,922","6,922","0"
"Castro Valley CDP, California","","",""
"    Estimate","20,586","20,279","307"
"Cathedral City city, California","","",""
"    Estimate","26,236","21,701","4,535"
"Ceres city, California","","",""
"    Estimate","14,292","13,910","382"
"Cerritos city, California","","",""
"    Estimate","15,642","15,051","591"
"Chico city, California","","",""
"    Estimate","40,176","37,040","3,136"
"Chino city, California","","",""
"    Estimate","28,420","26,079","2,341"
"Chino Hills city, California","","",""
"    Estimate","28,005","26,856","1,149"
"Chowchilla city, California","","",""
"    Estimate","4,356","4,126","230"
"Chula Vista city, California","","",""
"    Estimate","91,083","82,916","8,167"
"Citrus Heights city, California","","",""
"    Estimate","37,854","36,460","1,394"
"Claremont city, California","","",""
"    Estimate","12,190","11,514","676"
"Clovis city, California","","",""
"    Estimate","41,255","39,269","1,986"
"Coachella city, California","","",""
"    Estimate","11,770","11,643","127"
"Colton city, California","","",""
"    Estimate","18,173","17,298","875"
"Compton city, California","","",""
"    Estimate","22,411","21,757","654"
"Concord city, California","","",""
"    Estimate","46,435","45,071","1,364"
"Corcoran city, California","","",""
"    Estimate","4,435","4,397","38"
"Corona city, California","","",""
"    Estimate","50,282","47,793","2,489"
"Coronado city, California","","",""
"    Estimate","10,042","7,044","2,998"
"Costa Mesa city, California","","",""
"    Estimate","41,378","38,762","2,616"
"Covina city, California","","",""
"    Estimate","16,377","15,428","949"
"Cudahy city, California","","",""
"    Estimate","5,854","5,631","223"
"Culver City city, California","","",""
"    Estimate","18,044","16,996","1,048"
"Cupertino city, California","","",""
"    Estimate","22,373","20,820","1,553"
"Cypress city, California","","",""
"    Estimate","15,656","15,209","447"
"Daly City city, California","","",""
"    Estimate","32,638","31,289","1,349"
"Dana Point city, California","","",""
"    Estimate","20,587","15,525","5,062"
"Danville town, California","","",""
"    Estimate","16,391","15,827","564"
"Davis city, California","","",""
"    Estimate","27,747","26,367","1,380"
"Delano city, California","","",""
"    Estimate","13,505","13,021","484"
"Desert Hot Springs city, California","","",""
"    Estimate","13,196","11,146","2,050"
"Diamond Bar city, California","","",""
"    Estimate","19,393","18,855","538"
"Dinuba city, California","","",""
"    Estimate","6,762","6,330","432"
"Dixon city, California","","",""
"    Estimate","6,850","6,850","0"
"Downey city, California","","",""
"    Estimate","34,011","32,073","1,938"
"Duarte city, California","","",""
"    Estimate","7,177","6,657","520"
"Dublin city, California","","",""
"    Estimate","22,534","21,642","892"
"East Hemet CDP, California","","",""
"    Estimate","5,560","5,142","418"
"East Los Angeles CDP, California","","",""
"    Estimate","32,397","30,676","1,721"
"East Palo Alto city, California","","",""
"    Estimate","8,567","7,601","966"
"Eastvale city, California","","",""
"    Estimate","15,047","14,356","691"
"El Cajon city, California","","",""
"    Estimate","33,385","32,139","1,246"
"El Centro city, California","","",""
"    Estimate","15,039","13,063","1,976"
"El Cerrito city, California","","",""
"    Estimate","10,565","9,659","906"
"El Dorado Hills CDP, California","","",""
"    Estimate","18,530","17,766","764"
"Elk Grove city, California","","",""
"    Estimate","58,532","57,048","1,484"
"El Monte city, California","","",""
"    Estimate","32,740","31,535","1,205"
"El Paso de Robles (Paso Robles) city, California","","",""
"    Estimate","11,764","11,192","572"
"Encinitas city, California","","",""
"    Estimate","25,542","23,478","2,064"
"Escondido city, California","","",""
"    Estimate","53,773","51,364","2,409"
"Eureka city, California","","",""
"    Estimate","11,961","11,023","938"
"Fairfield city, California","","",""
"    Estimate","39,867","37,310","2,557"
"Fair Oaks CDP, California","","",""
"    Estimate","13,199","12,671","528"
"Fallbrook CDP, California","","",""
"    Estimate","10,810","9,864","946"
"Florence-Graham CDP, California","","",""
"    Estimate","15,687","14,973","714"
"Florin CDP, California","","",""
"    Estimate","16,260","15,575","685"
"Folsom city, California","","",""
"    Estimate","28,225","27,286","939"
"Fontana city, California","","",""
"    Estimate","57,905","56,457","1,448"
"Foothill Farms CDP, California","","",""
"    Estimate","14,088","13,397","691"
"Foster City city, California","","",""
"    Estimate","13,161","12,708","453"
"Fountain Valley city, California","","",""
"    Estimate","18,595","17,848","747"
"Fremont city, California","","",""
"    Estimate","81,652","77,848","3,804"
"French Valley CDP, California","","",""
"    Estimate","11,403","10,844","559"
"Fresno city, California","","",""
"    Estimate","180,639","172,815","7,824"
"Fullerton city, California","","",""
"    Estimate","46,039","44,365","1,674"
"Galt city, California","","",""
"    Estimate","8,995","8,647","348"
"Gardena city, California","","",""
"    Estimate","22,271","21,006","1,265"
"Garden Grove city, California","","",""
"    Estimate","49,069","47,378","1,691"
"Gilroy city, California","","",""
"    Estimate","16,579","15,324","1,255"
"Glendale city, California","","",""
"    Estimate","80,104","74,197","5,907"
"Glendora city, California","","",""
"    Estimate","17,834","16,553","1,281"
"Goleta city, California","","",""
"    Estimate","11,228","10,896","332"
"Granite Bay CDP, California","","",""
"    Estimate","7,533","7,533","0"
"Greenfield city, California","","",""
"    Estimate","5,190","4,830","360"
"Hacienda Heights CDP, California","","",""
"    Estimate","15,603","15,091","512"
"Hanford city, California","","",""
"    Estimate","20,114","19,310","804"
"Hawthorne city, California","","",""
"    Estimate","28,410","27,489","921"
"Hayward city, California","","",""
"    Estimate","51,060","47,826","3,234"
"Hemet city, California","","",""
"    Estimate","31,952","28,412","3,540"
"Hercules city, California","","",""
"    Estimate","9,999","9,762","237"
"Hesperia city, California","","",""
"    Estimate","29,136","27,185","1,951"
"Highland city, California","","",""
"    Estimate","16,394","15,433","961"
"Hollister city, California","","",""
"    Estimate","12,184","11,963","221"
"Huntington Beach city, California","","",""
"    Estimate","81,414","75,273","6,141"
"Huntington Park city, California","","",""
"    Estimate","15,109","14,741","368"
"Imperial Beach city, California","","",""
"    Estimate","10,545","9,734","811"
"Indio city, California","","",""
"    Estimate","39,359","31,760","7,599"
"Inglewood city, California","","",""
"    Estimate","37,193","34,440","2,753"
"Irvine city, California","","",""
"    Estimate","114,217","104,524","9,693"
"Isla Vista CDP, California","","",""
"    Estimate","5,412","4,687","725"
"Jurupa Valley city, California","","",""
"    Estimate","25,705","24,548","1,157"
"La Cañada Flintridge city, California","","",""
"    Estimate","6,653","6,191","462"
"La Crescenta-Montrose CDP, California","","",""
"    Estimate","7,673","7,626","47"
"Ladera Ranch CDP, California","","",""
"    Estimate","6,921","6,921","0"
