"Label (Grouping)","Total:","Total:!!With private health insurance","Total:!!No private health insurance"
"Bloomington CDP, California","","",""
"    Estimate","24,097","9,959","14,138"
"Blythe city, California","","",""
"    Estimate","15,144","6,339","8,805"
"Brawley city, California","","",""
"    Estimate","26,145","9,609","16,536"
"Brea city, California","","",""
"    Estimate","43,268","30,434","12,834"
"Brentwood city, California","","",""
"    Estimate","64,470","52,919","11,551"
"Buena Park city, California","","",""
"    Estimate","81,487","53,025","28,462"
"Burbank city, California","","",""
"    Estimate","102,102","71,825","30,277"
"Burlingame city, California","","",""
"    Estimate","30,618","27,272","3,346"
"Calabasas city, California","","",""
"    Estimate","20,449","15,950","4,499"
"Calexico city, California","","",""
"    Estimate","39,801","13,083","26,718"
"Camarillo city, California","","",""
"    Estimate","69,220","52,120","17,100"
"Campbell city, California","","",""
"    Estimate","41,541","35,039","6,502"
"Carlsbad city, California","","",""
"    Estimate","114,946","95,227","19,719"
"Carmichael CDP, California","","",""
"    Estimate","66,380","41,297","25,083"
"Carson city, California","","",""
"    Estimate","91,276","56,728","34,548"
"Casa de Oro-Mount Helix CDP, California","","",""
"    Estimate","20,167","13,443","6,724"
"Castro Valley CDP, California","","",""
"    Estimate","59,571","48,281","11,290"
"Cathedral City city, California","","",""
"    Estimate","54,944","24,889","30,055"
"Ceres city, California","","",""
"    Estimate","48,190","27,369","20,821"
"Cerritos city, California","","",""
"    Estimate","49,808","37,092","12,716"
"Chico city, California","","",""
"    Estimate","102,599","70,065","32,534"
"Chino city, California","","",""
"    Estimate","87,608","58,468","29,140"
"Chino Hills city, California","","",""
"    Estimate","83,747","67,038","16,709"
"Chowchilla city, California","","",""
"    Estimate","13,535","6,494","7,041"
"Chula Vista city, California","","",""
"    Estimate","267,862","190,284","77,578"
"Citrus Heights city, California","","",""
"    Estimate","87,432","60,494","26,938"
"Claremont city, California","","",""
"    Estimate","35,946","26,709","9,237"
"Clovis city, California","","",""
"    Estimate","114,246","91,298","22,948"
"Coachella city, California","","",""
"    Estimate","45,749","24,738","21,011"
"Colton city, California","","",""
"    Estimate","54,560","30,792","23,768"
"Compton city, California","","",""
"    Estimate","95,310","39,781","55,529"
"Concord city, California","","",""
"    Estimate","128,700","91,728","36,972"
"Corcoran city, California","","",""
"    Estimate","15,257","5,078","10,179"
"Corona city, California","","",""
"    Estimate","169,063","112,731","56,332"
"Coronado city, California","","",""
"    Estimate","17,494","15,071","2,423"
"Costa Mesa city, California","","",""
"    Estimate","112,499","70,951","41,548"
"Covina city, California","","",""
"    Estimate","47,149","29,069","18,080"
"Cudahy city, California","","",""
"    Estimate","22,765","6,604","16,161"
"Culver City city, California","","",""
"    Estimate","38,960","32,647","6,313"
"Cupertino city, California","","",""
"    Estimate","58,970","52,214","6,756"
"Cypress city, California","","",""
"    Estimate","48,969","35,078","13,891"
"Daly City city, California","","",""
"    Estimate","105,876","78,476","27,400"
"Dana Point city, California","","",""
"    Estimate","33,455","22,562","10,893"
"Danville town, California","","",""
"    Estimate","44,418","38,251","6,167"
"Davis city, California","","",""
"    Estimate","69,232","56,474","12,758"
"Delano city, California","","",""
"    Estimate","48,590","24,566","24,024"
"Desert Hot Springs city, California","","",""
"    Estimate","28,886","11,292","17,594"
"Diamond Bar city, California","","",""
"    Estimate","55,659","38,035","17,624"
"Dinuba city, California","","",""
"    Estimate","24,341","8,809","15,532"
"Dixon city, California","","",""
"    Estimate","24,083","17,607","6,476"
"Downey city, California","","",""
"    Estimate","110,629","66,670","43,959"
"Duarte city, California","","",""
"    Estimate","20,084","12,745","7,339"
"Dublin city, California","","",""
"    Estimate","63,084","56,811","6,273"
"East Hemet CDP, California","","",""
"    Estimate","19,057","7,690","11,367"
"East Los Angeles CDP, California","","",""
"    Estimate","119,714","44,847","74,867"
"East Palo Alto city, California","","",""
"    Estimate","29,304","16,778","12,526"
"Eastvale city, California","","",""
"    Estimate","63,932","51,329","12,603"
"El Cajon city, California","","",""
"    Estimate","100,917","56,476","44,441"
"El Centro city, California","","",""
"    Estimate","43,695","19,497","24,198"
"El Cerrito city, California","","",""
"    Estimate","25,473","19,385","6,088"
"El Dorado Hills CDP, California","","",""
"    Estimate","52,655","48,171","4,484"
"Elk Grove city, California","","",""
"    Estimate","174,479","135,752","38,727"
"El Monte city, California","","",""
"    Estimate","114,662","46,552","68,110"
"El Paso de Robles (Paso Robles) city, California","","",""
"    Estimate","32,141","20,258","11,883"
"Encinitas city, California","","",""
"    Estimate","62,163","53,193","8,970"
"Escondido city, California","","",""
"    Estimate","150,535","85,361","65,174"
"Eureka city, California","","",""
"    Estimate","26,154","16,854","9,300"
"Fairfield city, California","","",""
"    Estimate","114,664","84,840","29,824"
"Fair Oaks CDP, California","","",""
"    Estimate","30,056","22,361","7,695"
"Fallbrook CDP, California","","",""
"    Estimate","29,197","15,468","13,729"
"Florence-Graham CDP, California","","",""
"    Estimate","70,149","20,233","49,916"
"Florin CDP, California","","",""
"    Estimate","44,145","21,601","22,544"
"Folsom city, California","","",""
"    Estimate","76,335","64,994","11,341"
"Fontana city, California","","",""
"    Estimate","214,201","126,167","88,034"
"Foothill Farms CDP, California","","",""
"    Estimate","42,561","24,068","18,493"
"Foster City city, California","","",""
"    Estimate","33,809","29,550","4,259"
"Fountain Valley city, California","","",""
"    Estimate","55,161","39,470","15,691"
"Fremont city, California","","",""
"    Estimate","240,437","200,610","39,827"
"French Valley CDP, California","","",""
"    Estimate","40,709","33,772","6,937"
"Fresno city, California","","",""
"    Estimate","525,394","266,129","259,265"
"Fullerton city, California","","",""
"    Estimate","137,717","94,589","43,128"
"Galt city, California","","",""
"    Estimate","26,391","16,964","9,427"
"Gardena city, California","","",""
"    Estimate","58,735","32,440","26,295"
"Garden Grove city, California","","",""
"    Estimate","171,030","96,090","74,940"
"Gilroy city, California","","",""
"    Estimate","58,881","35,864","23,017"
"Glendale city, California","","",""
"    Estimate","198,140","110,293","87,847"
"Glendora city, California","","",""
"    Estimate","50,835","36,791","14,044"
"Goleta city, California","","",""
"    Estimate","30,747","24,540","6,207"
"Granite Bay CDP, California","","",""
"    Estimate","21,114","19,357","1,757"
"Greenfield city, California","","",""
"    Estimate","20,445","8,399","12,046"
"Hacienda Heights CDP, California","","",""
"    Estimate","50,764","29,565","21,199"
"Hanford city, California","","",""
"    Estimate","56,102","28,108","27,994"
"Hawthorne city, California","","",""
"    Estimate","85,634","41,939","43,695"
"Hayward city, California","","",""
"    Estimate","157,853","109,081","48,772"
"Hemet city, California","","",""
"    Estimate","84,789","34,770","50,019"
"Hercules city, California","","",""
"    Estimate","26,232","23,434","2,798"
"Hesperia city, California","","",""
"    Estimate","95,538","46,964","48,574"
"Highland city, California","","",""
"    Estimate","55,138","30,807","24,331"
"Hollister city, California","","",""
"    Estimate","41,018","23,047","17,971"
"Huntington Beach city, California","","",""
"    Estimate","198,877","150,170","48,707"
"Huntington Park city, California","","",""
"    Estimate","57,432","17,115","40,317"
"Imperial Beach city, California","","",""
"    Estimate","26,504","15,871","10,633"
"Indio city, California","","",""
"    Estimate","91,058","57,277","33,781"
"Inglewood city, California","","",""
"    Estimate","107,802","55,602","52,200"
"Irvine city, California","","",""
"    Estimate","287,130","238,943","48,187"
"Isla Vista CDP, California","","",""
"    Estimate","28,864","24,745","4,119"
"Jurupa Valley city, California","","",""
"    Estimate","108,894","49,056","59,838"
"La Cañada Flintridge city, California","","",""
"    Estimate","20,756","18,242","2,514"
"La Crescenta-Montrose CDP, California","","",""
"    Estimate","22,513","17,335","5,178"
"Ladera Ranch CDP, California","","",""
"    Estimate","21,761","20,304","1,457"
"Lafayette city, California","","",""
"    Estimate","26,584","23,885","2,699"
"Laguna Beach city, California","","",""
"    Estimate","22,554","17,893","4,661"
"Laguna Hills city, California","","",""
"    Estimate","30,989","22,291","8,698"
"Laguna Niguel city, California","","",""
"    Estimate","66,285","48,924","17,361"
"La Habra city, California","","",""
"    Estimate","60,348","37,719","22,629"
"Lake Elsinore city, California","","",""
"    Estimate","68,797","43,360","25,437"
"Lake Forest city, California","","",""
"    Estimate","85,353","68,073","17,280"
"Lakeside CDP, California","","",""
"    Estimate","19,384","15,040","4,344"
"Lakewood city, California","","",""
"    Estimate","78,883","60,179","18,704"
"La Mesa city, California","","",""
"    Estimate","57,938","39,986","17,952"
"La Mirada city, California","","",""
"    Estimate","47,869","33,761","14,108"
"Lancaster city, California","","",""
"    Estimate","151,849","99,536","52,313"
"La Presa CDP, California","","",""
"    Estimate","36,842","21,986","14,856"
"La Puente city, California","","",""
"    Estimate","39,443","17,835","21,608"
"La Quinta city, California","","",""
"    Estimate","41,753","26,991","14,762"
"Lathrop city, California","","",""
"    Estimate","24,356","17,336","7,020"
"La Verne city, California","","",""
"    Estimate","31,788","21,835","9,953"
"Lawndale city, California","","",""
"    Estimate","32,374","17,684","14,690"
"Lemon Grove city, California","","",""
"    Estimate","26,137","18,001","8,136"
"Lemoore city, California","","",""
"    Estimate","25,213","18,040","7,173"
"Lennox CDP, California","","",""
"    Estimate","24,001","10,383","13,618"
"Lincoln city, California","","",""
"    Estimate","47,938","38,393","9,545"
"Linda CDP, California","","",""
"    Estimate","23,325","10,324","13,001"
"Livermore city, California","","",""
"    Estimate","89,850","75,622","14,228"
"Lodi city, California","","",""
"    Estimate","67,035","42,191","24,844"
"Loma Linda city, California","","",""
"    Estimate","24,274","16,299","7,975"
"Lomita city, California","","",""
"    Estimate","23,878","16,178","7,700"
"Lompoc city, California","","",""
"    Estimate","39,387","18,413","20,974"
"Long Beach city, California","","",""
"    Estimate","459,608","264,788","194,820"
"Los Altos city, California","","",""
"    Estimate","29,860","27,542","2,318"
"Los Angeles city, California","","",""
"    Estimate","3,949,197","2,137,627","1,811,570"
"Los Banos city, California","","",""
"    Estimate","40,972","18,691","22,281"
"Los Gatos town, California","","",""
"    Estimate","29,916","26,488","3,428"
"Lynwood city, California","","",""
"    Estimate","66,909","24,788","42,121"
"Madera city, California","","",""
"    Estimate","65,616","33,627","31,989"
"Manhattan Beach city, California","","",""
"    Estimate","35,179","31,752","3,427"
"Manteca city, California","","",""
"    Estimate","82,784","59,071","23,713"
"Marina city, California","","",""
"    Estimate","20,738","13,822","6,916"
"Martinez city, California","","",""
"    Estimate","37,819","32,164","5,655"
"Maywood city, California","","",""
"    Estimate","26,832","7,394","19,438"
"Mead Valley CDP, California","","",""
"    Estimate","19,068","7,483","11,585"
"Menifee city, California","","",""
"    Estimate","93,997","63,356","30,641"
"Menlo Park city, California","","",""
"    Estimate","34,452","31,408","3,044"
"Merced city, California","","",""
"    Estimate","82,806","41,581","41,225"
"Millbrae city, California","","",""
"    Estimate","23,117","19,240","3,877"
"Milpitas city, California","","",""
"    Estimate","81,540","66,387","15,153"
"Mission Viejo city, California","","",""
"    Estimate","93,852","71,241","22,611"
"Modesto city, California","","",""
"    Estimate","213,941","116,317","97,624"
"Monrovia city, California","","",""
"    Estimate","36,256","25,284","10,972"
"Montclair city, California","","",""
"    Estimate","39,875","21,347","18,528"
"Montebello city, California","","",""
"    Estimate","61,547","30,191","31,356"
"Monterey city, California","","",""
"    Estimate","24,954","20,265","4,689"
"Monterey Park city, California","","",""
"    Estimate","59,434","33,647","25,787"
"Moorpark city, California","","",""
"    Estimate","36,249","27,112","9,137"
"Moreno Valley city, California","","",""
"    Estimate","212,748","114,893","97,855"
"Morgan Hill city, California","","",""
"    Estimate","45,685","36,316","9,369"
"Mountain View city, California","","",""
"    Estimate","82,325","66,869","15,456"
"Murrieta city, California","","",""
"    Estimate","115,143","85,473","29,670"
"Napa city, California","","",""
"    Estimate","77,314","57,059","20,255"
"National City city, California","","",""
"    Estimate","53,611","27,121","26,490"
"Newark city, California","","",""
"    Estimate","48,882","38,869","10,013"
"Newport Beach city, California","","",""
"    Estimate","84,251","69,656","14,595"
"Norco city, California","","",""
"    Estimate","23,381","18,950","4,431"
"North Highlands CDP, California","","",""
"    Estimate","45,245","24,657","20,588"
"North Tustin CDP, California","","",""
"    Estimate","24,426","21,493","2,933"
