"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"    Estimate","15,257","9,967","5,290"
"Corona city, California","","",""
"    Estimate","169,063","48,411","120,652"
"Coronado city, California","","",""
"    Estimate","17,494","4,891","12,603"
"Costa Mesa city, California","","",""
"    Estimate","112,499","32,788","79,711"
"Covina city, California","","",""
"    Estimate","47,149","15,945","31,204"
"Cudahy city, California","","",""
"    Estimate","22,765","11,709","11,056"
"Culver City city, California","","",""
"    Estimate","38,960","7,419","31,541"
"Cupertino city, California","","",""
"    Estimate","58,970","11,391","47,579"
"Cypress city, California","","",""
"    Estimate","48,969","15,534","33,435"
"Daly City city, California","","",""
"    Estimate","105,876","33,580","72,296"
"Dana Point city, California","","",""
"    Estimate","33,455","14,181","19,274"
"Danville town, California","","",""
"    Estimate","44,418","8,715","35,703"
"Davis city, California","","",""
"    Estimate","69,232","15,580","53,652"
"Delano city, California","","",""
"    Estimate","48,590","22,355","26,235"
"Desert Hot Springs city, California","","",""
"    Estimate","28,886","15,790","13,096"
"Diamond Bar city, California","","",""
"    Estimate","55,659","19,364","36,295"
"Dinuba city, California","","",""
"    Estimate","24,341","14,893","9,448"
"Dixon city, California","","",""
"    Estimate","24,083","7,804","16,279"
"Downey city, California","","",""
"    Estimate","110,629","38,140","72,489"
"Duarte city, California","","",""
"    Estimate","20,084","8,283","11,801"
"Dublin city, California","","",""
"    Estimate","63,084","9,428","53,656"
"East Hemet CDP, California","","",""
"    Estimate","19,057","9,790","9,267"
"East Los Angeles CDP, California","","",""
"    Estimate","119,714","57,315","62,399"
"East Palo Alto city, California","","",""
"    Estimate","29,304","11,873","17,431"
"Eastvale city, California","","",""
"    Estimate","63,932","13,092","50,840"
"El Cajon city, California","","",""
"    Estimate","100,917","47,318","53,599"
"El Centro city, California","","",""
"    Estimate","43,695","25,312","18,383"
"El Cerrito city, California","","",""
"    Estimate","25,473","8,050","17,423"
"El Dorado Hills CDP, California","","",""
"    Estimate","52,655","12,163","40,492"
"Elk Grove city, California","","",""
"    Estimate","174,479","55,354","119,125"
"El Monte city, California","","",""
"    Estimate","114,662","60,271","54,391"
"El Paso de Robles (Paso Robles) city, California","","",""
"    Estimate","32,141","12,942","19,199"
"Encinitas city, California","","",""
"    Estimate","62,163","15,818","46,345"
"Escondido city, California","","",""
"    Estimate","150,535","59,789","90,746"
"Eureka city, California","","",""
"    Estimate","26,154","9,727","16,427"
"Fairfield city, California","","",""
