"Label (Grouping)","Total:!!In labor force:!!Civilian labor force:","Total:!!In labor force:!!Civilian labor force:!!Employed","Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"Hercules city, California","","",""
"    Estimate","13,980","13,850","130"
"Hesperia city, California","","",""
"    Estimate","39,243","36,191","3,052"
"Highland city, California","","",""
"    Estimate","25,093","23,019","2,074"
"Hollister city, California","","",""
"    Estimate","21,133","18,102","3,031"
"Huntington Beach city, California","","",""
"    Estimate","112,422","106,945","5,477"
"Huntington Park city, California","","",""
"    Estimate","29,635","27,965","1,670"
"Imperial Beach city, California","","",""
"    Estimate","13,761","12,769","992"
"Indio city, California","","",""
"    Estimate","41,317","39,765","1,552"
"Inglewood city, California","","",""
"    Estimate","59,149","56,234","2,915"
"Irvine city, California","","",""
"    Estimate","149,715","143,859","5,856"
"Isla Vista CDP, California","","",""
"    Estimate","12,796","10,402","2,394"
"Jurupa Valley city, California","","",""
"    Estimate","50,490","46,185","4,305"
"La Cañada Flintridge city, California","","",""
"    Estimate","8,692","8,567","125"
"La Crescenta-Montrose CDP, California","","",""
"    Estimate","10,363","10,021","342"
"Ladera Ranch CDP, California","","",""
"    Estimate","11,102","10,757","345"
"Lafayette city, California","","",""
"    Estimate","11,153","10,355","798"
"Laguna Beach city, California","","",""
"    Estimate","11,421","11,156","265"
"Laguna Hills city, California","","",""
"    Estimate","17,168","16,628","540"
"Laguna Niguel city, California","","",""
"    Estimate","34,922","33,467","1,455"
"La Habra city, California","","",""
"    Estimate","33,805","31,779","2,026"
"Lake Elsinore city, California","","",""
"    Estimate","31,477","30,195","1,282"
"Lake Forest city, California","","",""
"    Estimate","48,168","46,874","1,294"
"Lakeside CDP, California","","",""
"    Estimate","9,309","8,666","643"
"Lakewood city, California","","",""
"    Estimate","41,624","39,240","2,384"
"La Mesa city, California","","",""
"    Estimate","33,665","31,675","1,990"
"La Mirada city, California","","",""
"    Estimate","24,772","22,883","1,889"
"Lancaster city, California","","",""
"    Estimate","62,892","59,532","3,360"
"La Presa CDP, California","","",""
"    Estimate","17,977","15,817","2,160"
"La Puente city, California","","",""
"    Estimate","20,228","19,094","1,134"
"La Quinta city, California","","",""
"    Estimate","19,731","18,724","1,007"
"Lathrop city, California","","",""
"    Estimate","12,821","11,959","862"
"La Verne city, California","","",""
"    Estimate","14,144","13,118","1,026"
"Lawndale city, California","","",""
"    Estimate","18,678","17,885","793"
"Lemon Grove city, California","","",""
"    Estimate","12,161","10,821","1,340"
"Lemoore city, California","","",""
"    Estimate","12,359","11,678","681"
"Lennox CDP, California","","",""
"    Estimate","12,657","12,225","432"
"Lincoln city, California","","",""
"    Estimate","19,841","19,349","492"
"Linda CDP, California","","",""
"    Estimate","9,190","7,934","1,256"
"Livermore city, California","","",""
"    Estimate","48,066","46,806","1,260"
"Lodi city, California","","",""
"    Estimate","32,130","30,141","1,989"
"Loma Linda city, California","","",""
"    Estimate","10,620","9,921","699"
"Lomita city, California","","",""
"    Estimate","11,960","11,629","331"
"Lompoc city, California","","",""
"    Estimate","19,595","18,892","703"
"Long Beach city, California","","",""
"    Estimate","250,551","237,950","12,601"
"Los Altos city, California","","",""
"    Estimate","13,594","13,116","478"
"Los Angeles city, California","","",""
"    Estimate","2,184,742","2,069,881","114,861"
"Los Banos city, California","","",""
"    Estimate","16,894","15,591","1,303"
"Los Gatos town, California","","",""
"    Estimate","14,260","13,697","563"
"Lynwood city, California","","",""
"    Estimate","31,292","28,507","2,785"
"Madera city, California","","",""
"    Estimate","29,471","27,393","2,078"
"Manhattan Beach city, California","","",""
"    Estimate","15,790","15,120","670"
"Manteca city, California","","",""
"    Estimate","37,368","35,656","1,712"
"Marina city, California","","",""
"    Estimate","10,790","10,371","419"
"Martinez city, California","","",""
"    Estimate","22,677","22,381","296"
"Maywood city, California","","",""
"    Estimate","12,215","11,908","307"
"Mead Valley CDP, California","","",""
"    Estimate","8,253","8,045","208"
"Menifee city, California","","",""
"    Estimate","39,215","36,393","2,822"
"Menlo Park city, California","","",""
"    Estimate","18,394","18,034","360"
"Merced city, California","","",""
"    Estimate","39,727","35,524","4,203"
"Millbrae city, California","","",""
"    Estimate","13,042","12,837","205"
"Milpitas city, California","","",""
"    Estimate","50,683","48,421","2,262"
"Mission Viejo city, California","","",""
"    Estimate","48,388","47,065","1,323"
"Modesto city, California","","",""
"    Estimate","98,798","90,562","8,236"
"Monrovia city, California","","",""
"    Estimate","20,322","19,064","1,258"
"Montclair city, California","","",""
"    Estimate","19,565","18,231","1,334"
"Montebello city, California","","",""
"    Estimate","31,013","29,438","1,575"
"Monterey city, California","","",""
"    Estimate","15,834","15,498","336"
"Monterey Park city, California","","",""
"    Estimate","29,412","28,231","1,181"
"Moorpark city, California","","",""
"    Estimate","19,675","18,790","885"
"Moreno Valley city, California","","",""
"    Estimate","100,470","94,075","6,395"
"Morgan Hill city, California","","",""
"    Estimate","24,073","22,777","1,296"
"Mountain View city, California","","",""
"    Estimate","50,995","49,567","1,428"
"Murrieta city, California","","",""
"    Estimate","55,445","52,425","3,020"
"Napa city, California","","",""
"    Estimate","41,417","39,997","1,420"
"National City city, California","","",""
"    Estimate","27,506","25,678","1,828"
"Newark city, California","","",""
"    Estimate","28,334","26,951","1,383"
"Newport Beach city, California","","",""
"    Estimate","45,350","43,879","1,471"
"Norco city, California","","",""
"    Estimate","13,107","12,910","197"
"North Highlands CDP, California","","",""
"    Estimate","22,165","21,050","1,115"
"North Tustin CDP, California","","",""
"    Estimate","13,639","13,213","426"
"Norwalk city, California","","",""
"    Estimate","51,689","49,250","2,439"
"Novato city, California","","",""
"    Estimate","28,779","27,756","1,023"
"Oakdale city, California","","",""
"    Estimate","12,790","11,759","1,031"
"Oakland city, California","","",""
"    Estimate","241,611","231,125","10,486"
"Oakley city, California","","",""
"    Estimate","20,991","20,587","404"
"Oceanside city, California","","",""
"    Estimate","92,493","88,303","4,190"
"Oildale CDP, California","","",""
"    Estimate","12,914","12,353","561"
"Ontario city, California","","",""
"    Estimate","96,205","91,940","4,265"
"Orange city, California","","",""
"    Estimate","72,434","69,588","2,846"
"Orangevale CDP, California","","",""
"    Estimate","17,375","16,720","655"
"Orcutt CDP, California","","",""
"    Estimate","14,640","14,051","589"
"Oxnard city, California","","",""
"    Estimate","107,471","101,523","5,948"
"Pacifica city, California","","",""
"    Estimate","20,977","20,582","395"
"Palmdale city, California","","",""
"    Estimate","70,510","65,030","5,480"
"Palm Desert city, California","","",""
"    Estimate","23,540","22,190","1,350"
"Palm Springs city, California","","",""
"    Estimate","21,286","19,981","1,305"
"Palo Alto city, California","","",""
"    Estimate","31,947","31,359","588"
"Paramount city, California","","",""
"    Estimate","25,560","24,480","1,080"
"Pasadena city, California","","",""
"    Estimate","80,179","77,735","2,444"
"Patterson city, California","","",""
"    Estimate","13,365","12,409","956"
"Perris city, California","","",""
"    Estimate","36,997","35,029","1,968"
"Petaluma city, California","","",""
"    Estimate","32,238","31,082","1,156"
"Pico Rivera city, California","","",""
"    Estimate","34,235","32,382","1,853"
"Pinole city, California","","",""
"    Estimate","11,798","11,486","312"
"Pittsburg city, California","","",""
"    Estimate","35,274","32,542","2,732"
"Placentia city, California","","",""
"    Estimate","27,006","26,305","701"
"Pleasant Hill city, California","","",""
"    Estimate","19,386","19,123","263"
"Pleasanton city, California","","",""
"    Estimate","41,810","40,689","1,121"
"Pomona city, California","","",""
"    Estimate","77,019","73,733","3,286"
"Porterville city, California","","",""
"    Estimate","29,353","24,701","4,652"
"Port Hueneme city, California","","",""
"    Estimate","13,331","13,093","238"
"Poway city, California","","",""
"    Estimate","26,181","24,203","1,978"
"Ramona CDP, California","","",""
"    Estimate","12,469","12,097","372"
"Rancho Cordova city, California","","",""
"    Estimate","36,917","34,868","2,049"
"Rancho Cucamonga city, California","","",""
"    Estimate","92,876","89,394","3,482"
"Rancho Palos Verdes city, California","","",""
"    Estimate","21,364","20,676","688"
"Rancho San Diego CDP, California","","",""
"    Estimate","12,648","11,434","1,214"
"Rancho Santa Margarita city, California","","",""
"    Estimate","29,049","28,124","925"
"Red Bluff city, California","","",""
"    Estimate","8,115","6,878","1,237"
"Redding city, California","","",""
"    Estimate","44,691","42,486","2,205"
"Redlands city, California","","",""
"    Estimate","37,039","35,253","1,786"
"Redondo Beach city, California","","",""
"    Estimate","38,958","37,569","1,389"
"Redwood City city, California","","",""
"    Estimate","49,818","48,625","1,193"
"Reedley city, California","","",""
"    Estimate","11,174","9,992","1,182"
"Rialto city, California","","",""
"    Estimate","51,569","47,091","4,478"
"Richmond city, California","","",""
"    Estimate","58,672","56,774","1,898"
"Ridgecrest city, California","","",""
"    Estimate","15,279","13,230","2,049"
"Rio Linda CDP, California","","",""
"    Estimate","9,477","9,101","376"
"Riverbank city, California","","",""
"    Estimate","10,675","10,287","388"
"Riverside city, California","","",""
"    Estimate","166,442","158,610","7,832"
"Rocklin city, California","","",""
"    Estimate","32,417","31,016","1,401"
"Rohnert Park city, California","","",""
